8906112611474;ADN DESCUENTO;ATROPINA 1MG/1ML (ATROPRA) AMP I.V/I.M (ADN MEDICAL) F.V 09/2026;419;19.5990
8904187844278;CR MEDICARE;AZITROMICINA 500MG (ZITROMIN) AMP I.V (MEDICARE) FV. 07/2027;41;403.2930
7707236123352;VITALIS;AZTREONAM 1GR AMP I.V/I.M (VITALIS) F.V 02/2027;48;710.0885
6921875009896;ALFA;BENCILPENICILINA BENZATINICA 2.400.000 UI AMP I.M. (ALFA) FV. 12/2025;319;36.6025
7707184161239;FARMIONNI;BETAMETASONA 4MG/1ML AMP I.V/I.M (FARMIONNI) FV 05/2025;1059;22.2543
7707184161246;FARMIONNI;BETAMETASONA 8MG/2ML AMP I.V/I.M (FARMIONNI) F.V 11/2025;200;29.2820
17709315171572;BIOESTERIL;BROMURO DE HIOSCINA 20MG/1ML AMP I.V/I.M (BIOESTERIL) F.V 05/2026;236;65.2190
8904187828261;BIOS-VITA;BROMURO DE HIOSCINA 20MG/1ML AMP I.V/I.M (BIOS-VITA) F.V 02/2027;29;62.5570
756058829949;GLOBAL MEDIC;BROMURO DE HIOSCINA 20MG/1ML AMP I.V/I.M (GLOBAL MEDIC) F.V 05/2026;10;63.2225
7707236123048;VITALIS;BROMURO DE HIOSCINA 20MG/1ML AMP I.V/I.M (VITALIS) FV. 03/2027;643;82.5220
736372827401;GLOBAL MEDIC;BROMURO DE HIOSCINA 20MG/5ML + DIPIRONA 2.5MG AMP I.V/I.M (GLOBAL MEDIC) FV. 12/2025;40;93.8355
7592637000780;BEHRENS;BROMURO DE HIOSCINA 20MG/ML (HIOSFEM) AMP I.V/I.M (BEHRENS) FV. 01/2028;127;155.0615
8906112616660;ANDILAB;BROMURO DE HIOSCINA 20MG/ML AMP I.V/I.M/S.C. (ANDILAB) FV. 02/2027;301;63.2225
7707289590965;ADS PHARM;BROMURO DE ROCURONIO 50MG/5ML AMP I.V (ADS PHARM) FV. 08/2026;200;613.5910
7800061001946;BIOSANO;BROMURO DE ROCURONIO 50MG/5ML AMP I.V (BIOSANO) F.V 08/2026;1;702.7680
;VITALIS;BROMURO DE ROCURONIO 50MG/5ML AMP I.V (VITALIS) F.V 07/2027;100;739.3705
7707236120146;VITALIS;BROMURO VECURONIO 4MG AMP I.V (VITALIS) F.V 08/2027;39;203.6430
7591955001004;ROWE;BUMETANIDA 0.5MG/2ML (BUMELEX) AMP I.M/I.V CJ X 3 AMP (ROWE) FV. 02/2028;30;576.9885
7598455000346;BIOGLASS;BUPIVACAINA 15MG + DEXTROSA ANHIDRA 240MG (BUPIGLASS HIPERBARA) AMP ESPINAL X 3ML (BIOGLASS) FV. 04/2026;90;258.2140
7800061001892;BIOSANO;BUPIVACAINA HIPERBARICA 0.75%/2ML AMP EPIDURAL (BIOSANO) FV. 07/2026;125;212.2945
